"DateTime","AM Price"
"2019-03-27 00:00:00",3345
"2019-03-28 00:00:00",3310
"2019-04-01 00:00:00",3125
"2019-04-02 00:00:00",3070
"2019-04-03 00:00:00",3050
"2019-04-04 00:00:00",3050
"2019-04-05 00:00:00",3050
"2019-04-08 00:00:00",3050
"2019-04-09 00:00:00",3050
"2019-04-10 00:00:00",3015
"2019-04-11 00:00:00",3000
"2019-04-12 00:00:00",2980
"2019-04-15 00:00:00",2980
"2019-04-16 00:00:00",2930
"2019-04-17 00:00:00",2930
"2019-04-18 00:00:00",2950
"2019-04-22 00:00:00",2950
"2019-04-23 00:00:00",2950
"2019-04-24 00:00:00",2950
"2019-04-25 00:00:00",2950
"2019-04-26 00:00:00",2950
"2019-04-29 00:00:00",2950
"2019-05-01 00:00:00",2950
"2019-05-02 00:00:00",2950
"2019-05-03 00:00:00",2950
"2019-05-06 00:00:00",2950
"2019-05-07 00:00:00",2950
"2019-05-08 00:00:00",2950
"2019-05-09 00:00:00",2935
"2019-05-10 00:00:00",2935
"2019-05-13 00:00:00",2925
"2019-05-14 00:00:00",2905
"2019-05-15 00:00:00",2905
"2019-05-16 00:00:00",2890
"2019-05-17 00:00:00",2890
"2019-05-20 00:00:00",2875
"2019-05-21 00:00:00",2875
"2019-05-22 00:00:00",2875
"2019-05-23 00:00:00",2860
"2019-05-24 00:00:00",2840
"2019-05-28 00:00:00",2840
"2019-05-29 00:00:00",2840
"2019-05-30 00:00:00",2840
"2019-06-03 00:00:00",2840
"2019-06-04 00:00:00",2850
"2019-06-05 00:00:00",2870
"2019-06-06 00:00:00",2900
"2019-06-07 00:00:00",2910
"2019-06-10 00:00:00",2960
"2019-06-11 00:00:00",3070
"2019-06-12 00:00:00",3250
"2019-06-13 00:00:00",3475
"2019-06-14 00:00:00",3500
"2019-06-17 00:00:00",3465
"2019-06-18 00:00:00",3415
"2019-06-19 00:00:00",3340
"2019-06-20 00:00:00",3300
"2019-06-21 00:00:00",3245
"2019-06-24 00:00:00",3185
"2019-06-25 00:00:00",3170
"2019-06-26 00:00:00",3170
"2019-06-27 00:00:00",3210
"2019-07-01 00:00:00",3350
"2019-07-02 00:00:00",3350
"2019-07-03 00:00:00",3350
"2019-07-04 00:00:00",3350
"2019-07-05 00:00:00",3370
"2019-07-08 00:00:00",3400
"2019-07-09 00:00:00",3460
"2019-07-10 00:00:00",3515
"2019-07-11 00:00:00",3575
